c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
rachyb	hazel	brunette	fair	combination	acne	None
Lizzymom1984	green	brunette	fair	combination	acne	None
Acidfunk	green	brunette	porcelain	dry	None	25to34
anenasheff	blue	brunette	medium	dry	None	18to24
musicluva	brown	brunette	dark	oily	acne	None
bratpak2020	brown	black	dark	dry	acne	None
sceun11	brown	black	light	combination	None	18to24
queenstar	brown	black	medium	combination	acne	None
morganmm	green	brunette	olive	combination	acne	13to17
glowheaux	hazel	blonde	light	combination	acne	None
Doppelganger	brown	red	porcelain	combination	acne	None
Machar	brown	brunette	fair	dry	acne	None
lo77	hazel	brunette	light	combination	acne	None
sarahfield	hazel	brunette	fair	combination	acne	None
Patsylicious	brown	black	medium	combination	None	over54
jllows	green	red	fair	combination	sunDamage	35to44
shimmerbait	brown	brunette	light	combination	acne	None
glittersaurus	brown	brunette	light	combination	aging	None
Anabelle26	brown	black	medium	combination	acne	None
elly16	hazel	brunette	light	combination	acne	None
Kota97	green	brunette	fair	combination	redness	13to17
Bananas95	hazel	brunette	medium	oily	acne	None
imeeL	brown	black	light	combination	aging	None
KBakk	hazel	blonde	medium	oily	acne	None
Rairai287	brown	brunette	light	dry	acne	None
tayrezie	brown	brunette	fair	dry	darkCircles	None
musicluva	brown	brunette	dark	oily	acne	None
ilovespicoli	hazel	brunette	medium	combination	acne	None
hoopz84	brown	brunette	olive	oily	acne	None
lovelyjubley	blue	blonde	fair	combination	acne	None
zeniaaaa	brown	auburn	olive	dry	blackheads	None
AshleyEve	brown	black	deep	normal	aging	None
MaiShiba	blue	blonde	porcelain	dry	darkCircles	None
Caitlin1017	brown	blonde	porcelain	combination	None	over54
jenthegreat	brown	gray	porcelain	dry	aging	None
aritziasky	brown	black	medium	combination	acne	None
Aly10	brown	black	medium	oily	acne	None
emrenee1234	hazel	brunette	light	combination	acne	None
sarahhop	blue	brunette	porcelain	oily	acne	None
meganmaryy	blue	brunette	fair	combination	acne	None
NotbyName	hazel	brunette	light	combination	aging	None
ZimZum1999	brown	black	olive	combination	acne	35to44
ddma	brown	brunette	medium	combination	acne	None
AdrienPC	brown	black	dark	oily	acne	None
notvictoria	blue	blonde	light	combination	acne	None
jmeng	brown	black	tan	combination	acne	18to24
naz12	brown	brunette	medium	oily	blackheads	None
KatToronto	hazel	blonde	olive	combination	acne	None
Lex7508	brown	blonde	light	combination	acne	None
roselindsey	brown	brunette	fair	oily	acne	None
Dhaniya	brown	black	olive	oily	acne	None
Lolz123	green	brunette	medium	dry	acne	None
JENNNNNN90	brown	brunette	fair	dry	darkCircles	None
onejennyd	hazel	auburn	light	combination	aging	35to44
iries	brown	black	deep	oily	acne	18to24
QueenJ3ss	blue	brunette	light	combination	aging	None
annazhoufast	brown	black	tan	combination	acne	None
samesandy	brown	black	light	normal	acne	None
sashiee	brown	brunette	light	combination	acne	None
Mydearestroxy	brown	brunette	medium	oily	acne	None
sheeeeeen	brown	black	fair	dry	darkCircles	None
BrittanyRenee30	brown	brunette	fair	combination	acne	None
buttonfront	blue	blonde	porcelain	combination	None	18to24
MarkRoss	brown	brunette	medium	combination	blackheads	None
LeighScarlett	green	brunette	light	combination	acne	None
