c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
bkelliott	brown	black	light	combination	acne	NA
sophiaeris	brown	brunette	medium	combination	acne	NA
Danii1213	brown	brunette	tan	combination	calluses	NA
am608	NA	NA	NA	combination	NA	18to24
lys008	NA	NA	NA	combination	NA	25to34
mcc8	brown	black	deep	combination	aging	NA
magillagorilla	blue	red	fair	dry	sensitivity	NA
naomiapple	green	blonde	light	combination	acne	NA
JessicaPhan	NA	NA	NA	NA	NA	NA
Ashleynicole181	NA	NA	NA	NA	NA	NA
girlnext	blue	blonde	fair	combination	acne	NA
kates1123	brown	black	light	combination	NA	18to24
ivorygoddess	NA	NA	NA	combination	NA	25to34
dancingdiva96	brown	brunette	light	dry	dullness	NA
harsar	blue	blonde	fair	oily	acne	NA
Meg430	NA	NA	NA	NA	NA	NA
Kaymae1789	brown	brunette	light	combination	aging	NA
Amafism	NA	NA	NA	NA	NA	NA
JessieDee428	blue	blonde	light	normal	acne	NA
lizzie31	NA	NA	NA	dry	NA	35to44
Jennicarebear	NA	NA	NA	oily	NA	25to34
coffeeandcorgis	NA	NA	NA	NA	NA	NA
Cahl	green	brunette	porcelain	combination	NA	25to34
adreaminaqua	NA	NA	NA	normal	NA	25to34
katelynfunkhous	blue	blonde	medium	oily	acne	NA
dnews	NA	NA	NA	dry	NA	18to24
fghtoffyrdmns	green	blonde	light	dry	darkCircles	NA
pmmusser	brown	brunette	light	combination	NA	25to34
DidiC	brown	brunette	fair	combination	aging	NA
ohminsun	NA	NA	NA	NA	NA	NA
Derpy6	hazel	blonde	fair	dry	sensitivity	NA
jonirae319	NA	NA	NA	NA	NA	NA
MaeEllen01	NA	NA	NA	dry	NA	25to34
isisveiled	green	blonde	light	combination	acne	NA
KassySeetz	NA	NA	NA	NA	NA	NA
Kalexie	brown	brunette	dark	dry	acne	NA
candygirl438	NA	NA	NA	NA	NA	NA
RLJessica	NA	NA	NA	NA	NA	NA
hclark1973	NA	NA	NA	NA	NA	NA
MollyRenee	green	blonde	fair	combination	acne	NA
ctyw	brown	brunette	medium	combination	aging	NA
Amandaziv	NA	NA	NA	dry	NA	18to24
viannasloves	NA	NA	NA	NA	NA	NA
ZTWD	blue	blonde	light	normal	acne	35to44
SHY93	brown	blonde	tan	normal	NA	NA
fmagxhappy	NA	NA	NA	NA	NA	NA
RebeccaSand	NA	NA	NA	combination	NA	45to54
MarleyFluty	NA	NA	NA	NA	NA	NA
beautylovertam	NA	NA	NA	NA	NA	NA
aspahr	NA	NA	NA	NA	NA	NA
OakKnoll	NA	NA	NA	oily	NA	25to34
1cappy4	NA	NA	NA	dry	NA	over54
ambyd	green	brunette	medium	dry	aging	18to24
Jen283	NA	NA	NA	dry	NA	25to34
jannisss	brown	brunette	light	combination	sensitivity	18to24
facesaver4ever	hazel	brunette	light	dry	aging	45to54
Nicholeeee	NA	NA	NA	combination	NA	25to34
laurawalker	NA	NA	NA	NA	NA	NA
DrVixen	hazel	brunette	medium	normal	dullness	18to24
Moosh24	NA	NA	NA	NA	NA	NA
futureslp81	NA	NA	NA	NA	NA	NA
4mc44	NA	NA	NA	NA	NA	NA
MSACK	NA	NA	NA	NA	NA	NA
lehcar1986	NA	NA	NA	NA	NA	NA
aureo	green	brunette	light	dry	aging	45to54
boww	brown	NA	medium	NA	sensitivity	NA
BDPetersen	NA	NA	NA	dry	NA	25to34
MakeupcaddyPami	NA	NA	NA	NA	NA	NA
llsimon	NA	NA	NA	oily	NA	25to34
missy0518	NA	NA	NA	NA	NA	NA
kenziie3	green	brunette	light	normal	NA	NA
lovelya	brown	black	medium	combination	acne	NA
Ashley1000	blue	blonde	light	combination	acne	NA
flyicarus	brown	brunette	fair	combination	acne	18to24
NathaliaMA123	NA	NA	NA	combination	NA	25to34
Ambition1193	brown	black	dark	combination	cuticles	NA
Charlottewhisky	NA	NA	NA	oily	acne	NA
JJ0918	NA	NA	NA	NA	NA	NA
KateMN	brown	black	fair	dry	acne	NA
megluvsmakeup	NA	NA	NA	NA	NA	NA
daye	brown	brunette	tan	combination	aging	NA
awkwardtree	NA	NA	NA	normal	NA	25to34
Pandapaws2885	green	red	light	combination	NA	over54
MagsRobs	hazel	brunette	fair	combination	acne	NA
BreeBib	hazel	blonde	light	combination	aging	NA
kaleyyyyy	brown	blonde	light	dry	acne	NA
ybeauty101	brown	black	deep	oily	acne	NA
Mbodle	blue	blonde	fair	combination	acne	NA
MadiSuchSki	brown	brunette	medium	oily	acne	NA
Becky723	blue	blonde	medium	combination	blackheads	NA
jennaj95	blue	blonde	fair	combination	acne	NA
ChristianT	brown	blonde	light	dry	acne	NA
VVictoria17	hazel	blonde	porcelain	combination	acne	NA
MarissaM47	green	brunette	fair	dry	acne	NA
mollyh93	blue	brunette	light	dry	acne	NA
chelsilb	green	blonde	medium	combination	acne	NA
emmerella	brown	brunette	light	dry	acne	NA
MissJeena	brown	black	deep	combination	blackheads	35to44
jjcamer187	blue	blonde	fair	combination	aging	NA
ClaireH14	brown	black	olive	oily	darkCircles	NA
HannahKaytlin	brown	brunette	fair	combination	acne	NA
JJVO19	hazel	blonde	fair	combination	dullness	over54
Acl5292	green	blonde	fair	combination	acne	NA
LSW617	brown	brunette	fair	combination	acne	25to34
JessPace	blue	brunette	porcelain	dry	darkCircles	NA
mariavel	hazel	brunette	medium	combination	acne	NA
NicoleSekloch	brown	brunette	olive	oily	acne	NA
sweetbabyray	hazel	blonde	porcelain	dry	pores	NA
Ashscout20	blue	blonde	medium	normal	acne	NA
Calilulu	brown	brunette	medium	combination	acne	NA
