p_ID	p_Name	p_Brand	p_link	p_price	p_category	p_sku	p_stars	p_nReviews
	P439058	Violet-C Brightening Serum 20% Vitamin C + 10% AHA	Tatcha	https://www.sephora.com/product/violet-c-brightening-serum-vitamin-c-aha-P439058	88.00	Face Serums	2181055	4.7945	472
	P427407	Unicorn Essence Antioxidant Primer Serum	GLAMGLOW	https://www.sephora.com/product/the-ordinary-deciem-salicylic-acid-2-solution-P427407	58.00	Face Serums	2106086	4.3333	222
	P417108	Alpha Arbutin 2% + HA	Origins	https://www.sephora.com/product/the-concentrate-P417108	49.00	Face Serums	2162428	3.9434	53
	P427414	The Concentrate	Dior	https://www.sephora.com/product/the-ordinary-deciem-natural-moisturizing-factors-ha-P427414	49.00	Face Serums	1424241	4.1587	189
	P379510	Vinoperfect Radiance Serum	OLEHENRIKSEN	https://www.sephora.com/product/advanced-genifique-youth-activating-serum-P379510	128.00	Face Serums	2024511	4.5026	1166
	P421235	Advanced Génifique Youth Activating Serum	CLINIQUE	https://www.sephora.com/product/double-serum-complete-age-control-concentrate-P421235	92.00	Face Serums	2185445	4.0885	384
	P94421	Salicylic Acid 2% Solution	BECCA	https://www.sephora.com/product/vinoperfect-radiance-serum-P94421	7.90	Face Serums	2031458	4.2393	2018
	P417139	Skintune Blur Perfecting Primer Serum	Caudalie	https://www.sephora.com/product/rose-gold-elixir-P417139	11.50	Face Serums	2031516	3.9614	1502
	P436269	Natural Moisturizing Factors + HA	Murad	https://www.sephora.com/product/skintune-blur-perfecting-primer-serum-P436269	39.00	Face Serums	2163384	4.0233	258
	P427413	Double Serum Complete Age Control Concentrate	Algenist	https://www.sephora.com/product/the-ordinary-deciem-lactic-acid-10-ha-2-P427413	85.00	Face Serums	1933225	4.6122	98
	P393718	Lactic Acid 10% + HA 2%	Murad	https://www.sephora.com/product/luna-sleeping-night-oil-P393718	36.00	Face Serums	2087914	4.1251	1791
	P421998	Luna Sleeping Night Oil	Biossance	https://www.sephora.com/product/midnight-recovery-concentrate-P421998	49.00	Face Serums	2114932	4.4056	461
	P379994	Midnight Recovery Concentrate	Murad	https://www.sephora.com/product/advanced-night-repair-synchronized-recovery-complex-ii-P379994	8.90	Face Serums	2031441	4.3411	516
	P411540	Advanced Night Repair Synchronized Recovery Complex II	Caudalie	https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540	5.80	Face Serums	2031425	4.2262	1578
	P282920	Pore Refining Solutions Correcting Serum	SK-II	https://www.sephora.com/product/pore-refining-solutions-correcting-serum-P282920	150.00	Face Serums	1850155	3.86	400
	P427733	Capture Youth Matte Maximizer Age-Delay Mattifying Serum	philosophy	https://www.sephora.com/product/capture-youth-matte-maximizer-age-delay-mattifying-serum-P427733	48.00	Face Serums	1318658	3.75	4
	P391634	French Pine Bark Serum ANTIOXIDANT PROTECTION	NARS	https://www.sephora.com/product/french-pine-bark-serum-antioxidant-protection-P391634	95.00	Face Serums	2028389	4.3333	9
